"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","Int","AER","CSD"
"*0554o*","Alexandre Jankewitz","SOU","M","490","FA","SOU 0<br/>@WHU 3 F","15.11","-","-","-","-","2","0","0","0","1","3","2","0","0","0"
"*05r4u*","Frederik Alves","WHU","D","496","FA","SOU 0<br/>@WHU 3 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
"*04qez*","Florin Andone","BHA","F","497","FA","BHA 0<br/>@ARS 2 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
"*059j0*","Faustino Anjorin","CHE","M","498","FA","CHE 1<br/>@AVL 2 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ogh*","Harrison Ashby","WHU","D","499","FA","SOU 0<br/>@WHU 3 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ret*","Ryan Astley","EVE","D","500","FA","EVE 0<br/>@MCI 5 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
"*03dda*","Christian Atsu","NEW","M","501","FA","NEW 2<br/>@FUL 0 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
"*05nnv*","Miguel Azeez","ARS","M","502","FA","BHA 0<br/>@ARS 2 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
"*059iq*","Folarin Balogun","ARS","F","503","FA","BHA 0<br/>@ARS 2 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r4v*","Jamal Baptiste","WHU","D","504","FA","SOU 0<br/>@WHU 3 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r4n*","Louie Barry","AVL","F","505","FA","CHE 1<br/>@AVL 2 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
"*05lus*","Lewis Bate","CHE","M","506","FA","CHE 1<br/>@AVL 2 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
"*04t94*","Adrian Bernabe","MCI","M","507","FA","EVE 0<br/>@MCI 5 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
"*03gou*","Muhamed Besic","EVE","M","508","FA","EVE 0<br/>@MCI 5 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r4h*","Lamare Bogarde","AVL","M","510","FA","CHE 1<br/>@AVL 2 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
"*04tsg*","Jamie Bowden","TOT","M","511","FA","TOT 4<br/>@LEI 2 F","0","-","-","-","-","0","0","0","0","0","0","0","0","0","0"
